,concept_uri,preferred_label
0,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,Musikpersonal verwalten
1,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,Strafvollzugsverfahren beaufsichtigen
2,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,nicht unterdrückende Praktiken anwenden
3,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,Einhaltung von Vorschriften von Eisenbahnfahrzeugen überprüfen
4,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,verfügbare Dienste ermitteln
5,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,toxikologische Studien durchführen
6,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,Einheitlichkeit von Kokillen gewährleisten
7,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell
8,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,Initiative zeigen
9,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,Personal mit Blick auf die Verringerung von Lebensmittelabfällen schulen
10,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,Grundsätze der Diplomatie anwenden
11,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,polizeiliche Ermittlungen leiten
12,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,mit den Abfällen der Fischernte umgehen
13,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,Energiesparkonzepte entwickeln
14,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,als Streetworker tätig sein
15,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,mit Solisten/Solistinnen arbeiten
16,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,Sport- und Bewegungsmedizin
17,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,Pflanzenforschung durchführen
18,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,Wärmepumpe installieren
19,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,Biomasseanlagen planen
20,http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,Bedienen von Geräten bei Arbeiten am Seil
21,http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,Kenntnisse in Haushaltsführung vermitteln
22,http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,Lokomotiven überprüfen
23,http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,öffentliche Maßnahmen beeinflussen
24,http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,Unternehmensrisikomanagement
25,http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,Zutaten herstellen
26,http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,Zuchtteiche von Aquakulturen instand halten
