,0
0,"schwierig klient patient angehörige kollege clever kommunizieren analyse strapaziös gesprächsmuster 
 schwierig klient schwierig situation 
 schwierig gespräch souverän meistern 
 übung videofeedback durchführen     "
1,"aktuelles arbeitsrecht 2022kurzbeschreibung 
 arbeitsrecht unterliegen ständig wandel änderung gesetzgebung folgend rechtsprechung seminar erhalten notwendig 
 kenntnis vorschrift beziehen sozial einrichtung rechtssicher handeln unnötig gerichtlich auseinandersetzung vermeiden 

 beschäftigtendatenschutz eudsgvo bdsg 
 urlaubsrecht urlaubsplanung verfall anspruch abgeltung urlaub 
 qualifizierungsvereinbarunge bindungsklausel 
 befristung arbeitsverträgen sachgrund 
 inhaltliche gestaltungsmöglichkeit arbeitsverträg 
 arbeitszeitrecht bereitschaftsdienste über mehrstunden 
 arbeitsrechtlich sanktion ermahnung abmahnung kündigung 
 bedeutung eingliederungsmanagement personenbedingt kündigung krankheit 
 übersicht aktuell rechtsprechung arbeitsgericht 

 grund aktualität kurzfristig thema aufnehmen     "
2,"ambulant pflege rechtssicher handeln haftungsrisik vermeiden- grundlage straf zivilrechtlich haftung 
 freiheitsentziehend maßnahme 
 betreuerrecht & # 8211;pflichter vorsorgevollmacht 
 delegation ärztlich tätigkeit pflegekräft 
    medikamentengabe injektion 
    weisungsrecht grenze 
 risikomanagement 
    risiko erkennen vermeiden 
    umgang dokumentation 
    datenschutz schweigepflicht     "
3,"aufgabe gesetzlich betreuer reform betreuungsrechtskurzbeschreibung 
 2020 planen gesetzgeber reform betreuungsrecht 
 ziel reform langfristig verbesserung sicherung qualität rechtlich betreuung 
 seminar wichtig eckpunkt reform soweit beschließen darstellen diskutieren gleichzeitig wichtig aktuell gerichtsentscheidung thema aufgabe zuständigkeit gesetzlich betreuer eingehen 

 seminarinhalt 
 übersicht änderung betreuungsrecht 2021 
 stärkung autonomie selbstbestimmungsrecht betreut 
 regelung verbesserung qualität gesetzlich betreuung 
 neuregelung vergütung betreuer 2019 
 abgrenzung rechtlich betreuung sozial betreuung einrichtung dienst 
 aktuell rechtsprechung abgrenzungsproblematik z.b. 
   arztbesuch 
   erledigung besorgung 
   regelung höchstpersönlich angelegenheit u.a.m     "
4,"basisqualifikation ungelernt pflegekräft zertifizieren berufsbegleitend)- alten krankenpflege 
   körperpflege 
   krankenbeobachtung puls blutdruck temperatur ein ausfuhr 
   bett lagerung pflegebedürftigen 
   mobilisation aufsetzen aufstehen laufen 
   umgang bewegungshilf 
   prophylaktische maßnahme 
   umgang inkontinent kunde bewohner 
   physikalisch maßnahme 
 qualitätssicherung pflege insbesondere pflegeplanung pflegedokumentation 
 grundsatz hygiene ernährung alt mensch 
 gesprächsführung alt mensch angehörige 
 konfliktbewältigung 
 besonderheit pflege häufig auftretend erkrankung hoch alter 
   alzheimer erkrankung demenz parkinson hemiplegie 
 sterben tod ethisch sicht 
 sozialhilferecht straf haftungsrecht betreuungsrecht 
 umgang medikament 
 hilfe     "
5,"berufspädagogisch pflichtfortbildung praxisanleiter/-in 8 ue online-seminarkurzbeschreibung 
 weiterentwicklung pflegequalität beginnen zeigen 
 qualifikation praxisanleiter/-in pflege leisten stück zukunftsarbeit kompetent fachkräfte-nachwuch sorge seminar 2020 praxisanleiter/-inne verpflichtend kontinuierlich fortbildung umfang 8 & # 8211 benötigt 24 unterrichteinheite pro zuständig behörde nachweisen 

 seminar finden virtuell klassenraum teilnahme benötigen pc laptop notebook headset stabil internetverbindung weiterentwicklung pflegequalität 

 seminarinhalt 
 aktives lernen gruppe     "
6,"berufspädagogisch pflichtfortbildung praxisanleiter/-inne 24 ue kurzbeschreibung 
 weiterentwicklung pflegequalität beginnen zeigen qualifikation praxisanleiter/-in pflege leisten stück 
 zukunftsarbeit kompetent fachkräfte-nachwuch sorgen 
 seminar 2020 praxisanleiter/-inne verpflichtend kontinuierlich fortbildung umfang 24 unterrichtseinheit pro zuständig behörde nachweisen 

 seminarinhalt 
 inhalt finden zeitnah homepage www.iwk.eu anfrage iwk potsdam     "
7,"berufspädagogisch pflichtfortbildung praxisanleiter/-inne 8 ue kurzbeschreibung 
 weiterentwicklung pflegequalität beginnen zeigen 
 qualifikation praxisanleiter/-in pflege leisten stück zukunftsarbeit kompetent fachkräfte-nachwuch 
 sorgen 
 seminar 2020 praxisanleiter/-inne verpflichtend kontinuierlich fortbildung umfang 8 benötigt 24 unterrichteinheite pro zuständig behörde nachweisen weiterentwicklung pflegequalität 

 seminarinhalt 
 evaluation feedback bewerten & # 8211 leistung bewerten 
 einschätzung beurteilung aufgabe praxisanleitend lässt leistung kompetenzorientiert evaluieren messen fair formulieren gegebenenfalls minderleistung kommunizieren verletzen teilnehmenden fördern seminar 
 kommunikationsfähigkeite beurteilungsgespräch trainieren kompetenz evaluation leistung formulierung korrektiv feedback aspekt eigen fremdwahrnehmung     "
8,"beschäftigung aktivierungstherapie dementiell erkrankt alt mensch stationär altenhilfeeinrichtunge aktivierungstherapie konzept ziel zielgruppe 
 rahmenkonzept betreuung beschäftigung aktivierung demenzerkrankt alt mensch 
 erschließung intensiv förderung bruchstückhaft vorhanden wahrnehmung kommunikationspotentiale 
 praxisnahe anleitung einzel gruppenarbeit 
 ausgabe umfangreich arbeitsmaterialie direkt umsetzung        "
9,"betreuungskraft gem. § § 43b 53c sgb xi berufsbegleitend modul 1 basiskurs betreuungsarbeit pflegeheima 100 stunde 
 kommunikation 
 alterstypisch krankheit 
 pflege hygiene 
 hilfe 

 modul 2 betreuungspraktikum pflegeheim 2 woche 

 modul 3 aufbaukurs betreuungsarbeit pflegeheim 60 stunde 
 rechtskunde 
 ernährungslehre 
 gestaltung aktivität fest 

 zertifizierung 
 weiterbildung berechtigen ausübung tätigkeit betreuungskraft entsprechend richtlinie § § 43b 53c sgb xi ehem. § 87b betreuungskräfte-rl 19. august 2008. 
 
 bewerbung benötigen folgend unterlage 
 bewerbungsanschreiben 
 tabellarischer lebenslauf passbild 
 kopie schul bzw. berufsabschlusszeugniss 
 nachweis beurteilung fünftägig orientierungspraktikum     "
