,course_name,skill_label
0,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",in der Fachkrankenpflege kommunizieren
1,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Fachkrankenpflege
2,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Feedback zum Kommunikationsstil von Patienten/Patientinnen geben
3,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",bei Kommunikationsstörungen beraten
4,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Patienten/Patientinnen zu familiären Themen beraten
5,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Sprachstörungen diagnostizieren
6,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",auf Fragen von Patienten/Patientinnen antworten
7,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",die Aktivitäten von Patienten/Patientinnen analysieren
8,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Analyse einer auf Video aufgenommenen Vorstellung leiten
9,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Patienten/Patientinnen zu Möglichkeiten der Verbesserung des Hörvermögens beraten
10,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",mit Nutzern/Nutzerinnen des Gesundheitssystems umgehen
11,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Angehörige von Patienten/Patientinnen in der Krankenpflege ausbilden
12,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",auf Vorstellungsgespräch vorbereiten
13,Aktuelles Arbeitsrecht 2022,Arbeitsrecht
14,Aktuelles Arbeitsrecht 2022,Arbeitsanweisungen für Hebetätigkeiten verstehen
15,Aktuelles Arbeitsrecht 2022,gewerkschaftsrechtliche Regelungen
16,Aktuelles Arbeitsrecht 2022,kollektives Arbeitsrecht
17,Aktuelles Arbeitsrecht 2022,Arbeitserlaubnisse beantragen
18,Aktuelles Arbeitsrecht 2022,Arbeitsverträge aushandeln
19,Aktuelles Arbeitsrecht 2022,Individualarbeitsrecht
20,Aktuelles Arbeitsrecht 2022,Gesundheit und Sicherheit am Arbeitsplatz
21,Aktuelles Arbeitsrecht 2022,gesetzliche Verpflichtungen einhalten
22,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Rechtsvorschriften zur Gesundheitsfürsorge
23,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Ersthilfe anwenden
24,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,potenzielle Pflegeeltern evaluieren
25,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Bedürfnisse der Opfer von Straftaten
26,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Rechtsvorschriften im Zusammenhang mit der Praxis im Gesundheitswesen einhalten
27,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,über Krankheitspräventionen informieren
28,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Gesetze über die Beförderung von Gefahrgütern
29,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,zum Schutz von Personen vor Schaden beitragen
30,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Einhaltung von Vorschriften zu gefährlichen Abfällen überprüfen
31,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Krankenpflegekräfte beaufsichtigen
32,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",mit Krankenpflegepersonal arbeiten
33,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Krankenpflege planen
34,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Krankenpflege bewerten
35,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Mitarbeiterführung in der Krankenpflege
36,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",die Grundlagen der Krankenpflege umsetzen
37,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Grundlagen der Krankenpflege vermitteln
38,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",evidenzbasierte Krankenpflege
39,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",unter Aufsicht in der Pflege arbeiten
