,course_name,skill_label
0,Experte im Prozessmanagement,Arbeitsmarktangebote
1,Experte im Prozessmanagement,sich an Veränderungen anpassen
2,Experte im Prozessmanagement,sich an Änderungen in der Forstwirtschaft anpassen
3,Experte im Prozessmanagement,in einem multikulturellen Umfeld im Gesundheitswesen arbeiten
4,Experte im Prozessmanagement,in der Fischerei in einem multikulturellen Umfeld arbeiten
5,Experte im Prozessmanagement,in einem internationalen Umfeld arbeiten
6,Experte im Prozessmanagement,harmonisches Verhältnis zu Menschen mit unterschiedlichem kulturellem Hintergrund aufbauen
7,Experte im Prozessmanagement,organisatorischer Aufbau
8,Experte im Prozessmanagement,auf interdisziplinärer Ebene kooperieren
9,Experte im Prozessmanagement,Verwaltung im Bildungsbereich
10,Experte im Prozessmanagement,Abläufe und Verfahren leiten
11,Experte im Prozessmanagement,Grundlagen der Pädagogik vermitteln
12,Experte im Prozessmanagement,Lehrveranstaltungen an der Universität abhalten
13,Experte im Prozessmanagement,Grundlagen der Elektrizität vermitteln
14,Experte im Prozessmanagement,Geschäftsprozesse verbessern
15,Experte im Prozessmanagement,Weiterbildungsbedarf ermitteln
16,Experte im Prozessmanagement,bisher unerkannte Bedürfnisse im Unternehmen ermitteln
17,Experte im Prozessmanagement,betriebliche Weiterbildungsprogramme entwickeln
18,Experte im Prozessmanagement,Personal verwalten
19,Experte im Prozessmanagement,Änderungsmanagement anwenden
20,Experte im Prozessmanagement,Fortschritte bei der Zielerreichung analysieren
21,Experte im Prozessmanagement,Analyse der Beziehung zwischen der Verbesserung der Lieferkette und dem Gewinn
22,Experte im Prozessmanagement,Leistungsdiagnostik
23,Experte im Prozessmanagement,Personal schulen
24,Experte in Cloud Computing,Cloud-Architektur konzipieren
25,Experte in Cloud Computing,Cloud-Ressourcen implementieren
26,Experte in Cloud Computing,Cloud-Netzwerke konzipieren
27,Experte in Cloud Computing,Cloud-Aufgaben automatisieren
28,Experte in Cloud Computing,auf Vorfälle in der Cloud reagieren
29,Experte in Cloud Computing,Cloud-Daten und -Speicher verwalten
30,Experte in Cloud Computing,Cloud-Technologien
31,Experte in Cloud Computing,Cloud-Sicherheit und Compliance
32,Experte in Cloud Computing,Migration in die Cloud planen
33,Experte in Cloud Computing,Bestellungen für Computerprodukte aufgeben
34,Experte in Cloud Computing,Datenspeicherung
35,Experte in Cloud Computing,Cloud-Monitoring und -Berichterstattung
36,Experte in Investition und Finanzierung,Investmentportfolios überprüfen
37,Experte in Investition und Finanzierung,Anlageberatung leisten
38,Experte in Investition und Finanzierung,mit Finanzinstrumenten arbeiten
39,Experte in Investition und Finanzierung,Moderne Portfolio-Theorie
40,Experte in Investition und Finanzierung,Arbeitsmarktangebote
41,Experte in Investition und Finanzierung,Sicherungsstrategien für Kunden und Kundinnen umsetzen
42,Experte in Investition und Finanzierung,Impact Investing
43,Experte in Investition und Finanzierung,Investmentfonds auflegen
44,Experte in Investition und Finanzierung,Grundlagen der Elektrizität vermitteln
45,Experte in Investition und Finanzierung,Lehrveranstaltungen an der Universität abhalten
46,Experte in Investition und Finanzierung,Unterstützungsmechanismen zur Entwicklung professioneller Praktiken erkennen
47,Experte in Investition und Finanzierung,Grundlagen der Elektronik und Automation vermitteln
48,Experte in Investition und Finanzierung,im Hinblick auf die Teilnahme an Finanzmärkten beraten
49,Experte in Investition und Finanzierung,Finanzmarkttrends analysieren
50,Experte in Investition und Finanzierung,Markteintrittsplanung
51,Experte in Investition und Finanzierung,Finanzmarktgeschäfte durchführen
52,Experte in Investition und Finanzierung,Finanzierungstechnik
53,Experte in Investition und Finanzierung,Betriebswirtschaft
54,Experte in Investition und Finanzierung,Staatsfinanzen
55,Experte in Investition und Finanzierung,Finanzplan erstellen
56,Experte in Investition und Finanzierung,Finanzmittel verwalten
57,Experte in Investition und Finanzierung,Investmentanalyse
58,Experte in Investition und Finanzierung,Umweltpläne im Zusammenhang mit ihren Kosten bewerten
59,Experte in Investition und Finanzierung,finanzielle Tragfähigkeit beurteilen
60,Experte in Investition und Finanzierung,Vermögenswerte ansetzen und bewerten
61,Experte in Investition und Finanzierung,Finanzberatung leisten
62,Experte in Investition und Finanzierung,Fremdfinanzierung handhaben
63,Experte in Investition und Finanzierung,Kreditangebote erstellen
64,Experte in Investition und Finanzierung,Informationen über Finanzprodukte übermitteln
65,Experte in Investition und Finanzierung,Wertpapierhandel verwalten
66,Experte in Unternehmensaufbau und Organisation,Unternehmertum
67,Experte in Unternehmensaufbau und Organisation,Personal in Qualitätsverfahren schulen
68,Experte in Unternehmensaufbau und Organisation,Arbeitsmarktangebote
69,Experte in Unternehmensaufbau und Organisation,in einem multikulturellen Umfeld im Gesundheitswesen arbeiten
70,Experte in Unternehmensaufbau und Organisation,in der Fischerei in einem multikulturellen Umfeld arbeiten
71,Experte in Unternehmensaufbau und Organisation,in einem internationalen Umfeld arbeiten
72,Experte in Unternehmensaufbau und Organisation,harmonisches Verhältnis zu Menschen mit unterschiedlichem kulturellem Hintergrund aufbauen
73,Experte in Unternehmensaufbau und Organisation,organisatorischer Aufbau
74,Experte in Unternehmensaufbau und Organisation,auf interdisziplinärer Ebene kooperieren
75,Experte in Unternehmensaufbau und Organisation,den zukünftigen Geschäftsverlauf vorhersagen
76,Experte in Unternehmensaufbau und Organisation,Empfangspersonal ausbilden
77,Experte in Unternehmensaufbau und Organisation,Leitung und Verantwortung ausüben
78,Experte in Unternehmensaufbau und Organisation,Leistung von Unternehmensmitarbeitern und -mitarbeiterinnen bewerten
79,Experte in Unternehmensaufbau und Organisation,Ausgaben kontrollieren
80,Experte in Unternehmensaufbau und Organisation,Ressourcen von Maschinenräumen verwalten
81,Experte in Unternehmensaufbau und Organisation,individuelle Regiestile
82,Experte in Unternehmensaufbau und Organisation,Energiemanagement von Anlagen wahrnehmen
83,Experte in Unternehmensaufbau und Organisation,Wissensmanagement
84,Experte in Unternehmensaufbau und Organisation,den Weinkeller verwalten
85,Experte in Unternehmensaufbau und Organisation,arbeitsbezogene Berichte verfassen
86,Experte in Unternehmensaufbau und Organisation,Marktanalyse
87,Experte in Unternehmensaufbau und Organisation,Beschaffungsmarktanalyse durchführen
88,Experte in Unternehmensaufbau und Organisation,Schlussfolgerungen aus Marktforschungsergebnissen ziehen
89,Experte in Unternehmensaufbau und Organisation,Schulungsmarkt analysieren
90,Experte in Unternehmensaufbau und Organisation,potenzielle Märkte für Unternehmen ermitteln
91,Experte in Unternehmensaufbau und Organisation,Kundensegmentierung
92,Experte in Unternehmensaufbau und Organisation,externe Faktoren von Unternehmen analysieren
93,Experte in Unternehmensaufbau und Organisation,Finanzmarkttrends analysieren
94,Experte in Unternehmensaufbau und Organisation,Marktnischen ermitteln
95,Experte in Unternehmensaufbau und Organisation,Marktforschungsberichte erstellen
96,Experte in Unternehmensaufbau und Organisation,Marktwettbewerb in der Vermietungsbranche analysieren
97,Experte in Unternehmensaufbau und Organisation,Online-Wettbewerbsanalyse durchführen
98,Experte in Unternehmensaufbau und Organisation,Wettbewerbsbeschränkungen untersuchen
99,Experte in Unternehmensaufbau und Organisation,den Bedarf von Unternehmen beurteilen
100,Experte in Unternehmensaufbau und Organisation,Finanzanalyse zu Preisstrategien durchführen
101,Experte in Unternehmensaufbau und Organisation,Bewertung der Webstrategie
102,Experte in Unternehmensaufbau und Organisation,Business-Analyse
103,Experte in Unternehmensaufbau und Organisation,Prognose für Unternehmensrisiken erstellen
