,URIs,"(index, label)"
0,"(0, 1)","(0, 'musikpersonal verwalten')"
1,"(2, 3)","(1, 'strafvollzugsverfahr beaufsichtigen')"
2,"(4, 5, 6, 7)","(2, 'nicht unterdrückend praktik anwenden')"
3,"(8, 9, 10, 9, 11, 12)","(3, 'einhaltung von vorschrift von eisenbahnfahrzeuge überprüfen')"
4,"(13, 14, 15)","(4, 'verfügbar dienst ermitteln')"
5,"(16, 17, 18)","(5, 'toxikologisch studie durchführen')"
6,"(19, 9, 20, 21)","(6, 'einheitlichkeit von kokille gewährleisten')"
7,"(22,)","(7, 'haskell')"
8,"(23, 24)","(8, 'initiative zeigen')"
9,"(25, 26, 27, 28, 29, 30, 9, 31, 32)","(9, 'personal mit blick auf der verringerung von lebensmittelabfäll schulen')"
10,"(33, 29, 34, 7)","(10, 'grundsatz der diplomatie anwenden')"
11,"(35, 36, 37)","(11, 'polizeilich ermittlung leiten')"
12,"(26, 29, 38, 29, 39, 40)","(12, 'mit der abfall der fischernt umgehen')"
13,"(41, 42)","(13, 'energiesparkonzept entwickeln')"
14,"(43, 44, 45, 46)","(14, 'als streetworker tätig sein')"
15,"(26, 47, 48, 49)","(15, 'mit solist solistinn arbeiten')"
16,"(50, 51, 52)","(16, 'sport und bewegungsmedizin')"
17,"(53, 18)","(17, 'pflanzenforschung durchführen')"
18,"(54, 55)","(18, 'wärmepumpe installieren')"
19,"(56, 57)","(19, 'biomasseanlage planen')"
20,"(58, 9, 59, 60, 61, 62, 63)","(20, 'bedienen von gerät bei arbeit an seil')"
21,"(64, 65, 66, 67)","(21, 'kenntnis in haushaltsführung vermitteln')"
22,"(68, 12)","(22, 'lokomotive überprüfen')"
23,"(69, 70, 71)","(23, 'öffentlich maßnahme beeinflussen')"
24,"(72,)","(24, 'unternehmensrisikomanagement')"
25,"(73, 74)","(25, 'zutat herstellen')"
26,"(75, 9, 76, 77, 78)","(26, 'zuchtteich von aquakultur instand halten')"
27,"(79, 7)","(27, 'kreditrisikopolitik anwenden')"
28,"(80, 65, 81, 28, 82, 83)","(28, 'kundenanfrag in bezug auf fracht bearbeiten')"
29,"(84, 85, 86, 61, 51, 87, 88, 89)","(29, 'wissenschaftlich oder akademisch arbeit und technisch unterlage verfassen')"
30,"(90, 91)","(30, 'inkrementell entwicklung')"
31,"(92, 93, 94)","(31, 'hilfsmittel für alltagsarbeit')"
32,"(95,)","(32, 'sägetechnik')"
33,"(96, 9, 97, 74)","(33, 'bestandteil von gitarre herstellen')"
34,"(98, 99, 58)","(34, 'landwirtschaftlich maschine bedienen')"
