Level 0 URI,Level 0 preferred term,Level 1 URI,Level 1 preferred term,Level 2 URI,Level 2 preferred term,Level 3 URI,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
http://data.europa.eu/esco/skill/S,Fähigkeiten,,,,,,,,,S
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",,,,,"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals",S,S1
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.0,"Kommunikation, Zusammenarbeit und Kreativität",,,"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals",S,S1,S1.0
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.0,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.0.0,"Kommunikation, Zusammenarbeit und Kreativität","Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals",S,S1,S1.0,S1.0.0
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.1,Verhandlungen führen,,,"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.",,S,S1,S1.1
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.1,Verhandlungen führen,http://data.europa.eu/esco/skill/S1.1.0,Verhandlungen führen,"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.",,S,S1,S1.1,S1.1.0
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.1,Verhandlungen führen,http://data.europa.eu/esco/skill/S1.1.1,Aushandlung und Management von Verträgen und Vereinbarungen,"Negotiating and managing contracts and agreements with others concerning matters such as prices, terms of service, employment conditions, access to land and facilities.","Examples include: 
- conclude business agreements
- manage contracts
- negotiate price",S,S1,S1.1,S1.1.1
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.1,Verhandlungen führen,http://data.europa.eu/esco/skill/S1.1.2,Vermittlung in Streitsachen und Beilegung von Streitigkeiten,"Working with two or more separate people or groups involved in a disagreement or dispute to bring about an agreement, settlement or compromise.","Excludes:
- Making decisions

Examples include: 
- moderate in negotiations  
- handle financial disputes",S,S1,S1.1,S1.1.2
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.1,Verhandlungen führen,http://data.europa.eu/esco/skill/S1.1.3,Beantwortung von Beschwerden,Handling and responding to complaints from clients or staff.,"Examples:
- Handle customer complaints
- Manage employee complaints",S,S1,S1.1,S1.1.3
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.2,Herstellen und Pflegen von Kontakten sowie Bildung von Netzwerken,,,"Developing alliances, contacts or partnerships, and exchanging information with others.",,S,S1,S1.2
