,skill_info_processed
0,musikpersonal verwalten -- zuweisen verwalten aufgabe personal bereich komposition -- arrangement -- kopieren musik gesangsunterricht -- 
1,strafvollzugsverfahr beaufsichtigen -- überwachen betrieb justizvollzugsanstalt anderer strafvollzugsverfahr -- sicherstellen -- rechtsvorschrift anwenden personal einhalten -- verbesser effizienz sicherheit haftanstalt -- 
2,unterdrückend praktik anwenden -- ermitteln repression gesellschaft -- volkswirtschaft -- kultur gruppe -- professionell handeln nichtrepressiv weise -- befähig nutzer dienstleistung -- tätig -- leben verbessern -- bürger -- umfeld entsprechend interesse verändern -- 
3,einhaltung vorschrift eisenbahnfahrzeuge überprüfen -- kontrollieren fahrzeug -- komponente system -- einhaltung norm spezifikation gewährleisten -- 
4,verfügbar dienst ermitteln -- ermitteln verschieden verfügbar dienst -- straftäter bewährungszeit offenstehen -- rehabilitierung wiedereingliederungsprozess unterstützen -- beraten täter -- verfügung stehend dienstleistung ermitteln -- 
5,toxikologisch studie durchführen -- durchführen test nachweis gift drogenmissbrauch unterstützen therapieüberwachung einsatz chemisch reagenzie -- enzymen -- radioisotopen antikörper -- ungewöhnlich chemisch konzentration körper erkennen -- 
6,einheitlichkeit kokille gewährleisten -- überwachen einheitlichkeit kokille -- verwenden gießmaschin werkzeug schweißgerät -- 
7,haskell -- technik grundsatz softwareentwicklung -- analyse -- algorithm -- programmierung -- test zusammenstell programmparadigmen haskell -- 
8,"initiative zeigen -- proaktiv schritt unternehmen -- warten -- sagen -- 
   "
9,"personal blick verringerung lebensmittelabfäll schulen -- einführung neu schulung personalentwicklungsmaßnahmen -- wissen mitarbeiter vermeidung lebensmittelabfäll wiederverwertung lebensmittel fördern -- sicherstelle -- personal methode hilfsmittel wiederverwertung lebensmittel kennen -- z. b. abfalltrennung -- 
	 "
10,grundsatz diplomatie anwenden -- anwenden ausarbeitung international vertrag verbunden prozeß verhandlung vertreter verschieden land -- schutz interesse regierung unterstützung kompromiß -- 
11,polizeilich ermittlung leiten -- leiten ermittlung polizei -- einschließlich festlegen ermittlungsstrategie -- kontaktaufnahme sachverständige -- anwenden unterschiedlich methode standpunkt führen anleit beteiligt ermittler -- 
12,abfall fischernt umgehen -- entsorgen abfall -- blut minderwertig fisch gemäß standort geltend verfahren abfallbewirtschaftung -- 
13,energiesparkonzept entwickeln -- nutzen aktuell forschungsergebnis zusammenarbeit experte optimierung entwicklung konzept -- ausrüstung herstellungsverfahr -- energie benötigen -- z. b. dämmverfahr -materialien -- 
14,streetworker tätig -- sozialarbeit kontaktaufnahme person nachbarschaft straße anbiet direkt information beratungsdienst -- regel jugendliche obdachlose ausrichten -- 
15,solist -- solistinn arbeiten -- kommunizieren solokünstl konzertmeistern -- aufführung besprechen vorbereiten -- 
16,sport bewegungsmedizin -- vorbeugung behandlung verletzung erkrankung -- körperlich betätigung sport zurückführen -- 
17,pflanzenforschung durchführen -- sammeln auswert datum pflanze -- grundlegend aspekt ursprung -- anatomie funktion erforschen -- 
18,wärmepumpe installieren -- installieren wärmepumpe -- physikalisch eigenschaft kältemitteln nutzen -- wärme umgebungsluft extrahieren wärm umgebung freisetzen -- gegensatz spontan wärmezufuhr -- schaffen erforderlich öffnung installier innen außenteil wärmepumpe -- anschließen stromleitung kabelkanal konfigurieren wärmepumpe -- 
19,"biomasseanlage planen -- planung biomasse-energiesystem -- bestimmung grenze konstruktion -- z. b. benötigt platz gewicht -- berechnen indikator kapazität -- durchfluss temperatur -- erstellen detailliert beschreibung zeichnung entwurf -- 
	 "
20,bedienen gerät arbeit seil -- sicheres bedienen gerät tätigkeit höhe absicherung seil -- beginn tätigkeit einnehmen sicher stabil position -- beendigung tätigkeit sicher verstauen ausrüstung -- regel befestigung gurtschließe -- 
21,kenntnis haushaltsführung vermitteln -- vermittel kenntnis bereich haushaltsführung handwerklich fertigkeit ziel -- täglich arbeit lebensumstand verbessern -- 
22,lokomotive überprüfen -- sicherstelle -- lokomotive fahrtantritt vorschrift entsprechen -- 
23,"öffentlich maßnahme beeinflussen -- kommunizieren politisch entscheidungsträger datum verfügung stellen -- überzeugen -- rechtsvorschrift ändern bestimmt anliegen bereitstellen -- 
	 "
24,"unternehmensrisikomanagement -- plan basierend unternehmensstrategie -- abzielen -- gefahr -- risiko potenziell katastrophe -- sowohl physisch übertragen sinn -- betrieb ziel unternehmen beeinträchtigen -- identifizieren -- bewerten vorbereiten -- 
	 "
25,zutat herstellen -- herstellen zutat gewürz -- zusatzstoffen gemüse -- 
26,zuchtteich aquakultur instand halten -- reinige gerät behandlungswerkzeug -- entleeren reinige zuchtteiche bürste -- chemikalie wasser -- vorbereiten halteeinrichtung einsetzen fisch -- austauschen netz -- kontrolle schwimmer -- aufstocken fischbestand halteeinrichtung -- einsammeln fischkadaver halteeinrichtung -- 
27,kreditrisikopolitik anwenden -- umsetzen unternehmenspolitik -vorschrift rahmen kreditrisikomanagement -- dauerhaftes halten kreditrisiko unternehmen kontrollierbar niveau ergreifen maßnahme vermeidung kreditausfällen -- 
28,kundenanfrag bezug fracht bearbeiten -- bearbeit anfrage hafennutzer kunde zusammenhang container -- versandregelung fracht -- 
29,"wissenschaftlich akademisch arbeit technisch unterlage verfassen -- verfassen bearbeit wissenschaftlich -- akademisch technisch text verschieden thema -- 
     "
30,inkrementell entwicklung -- modell inkrementell entwicklung methode entwicklung softwaresystem anwendung -- 
31,hilfsmittel alltagsarbeit -- art spezialausrüstung -- prothese orthes -- durchführung täglich tätigkeit verwenden -- z. b. rollstuhl -- 
32,sägetechnik -- verschieden sägetechnik verwendung manuell elektrisch säg -- 
33,bestandteil gitarre herstellen -- auswählen geeignet tonhölzer -- material werkzeug herstellen verschieden gitarrenbestandteil decke -- griffbrett -- kopfplatte -- hals steg -- 
34,landwirtschaftlich maschine bedienen -- bedienen motorisiert landwirtschaftlich gerät -- einschließlich traktor -- ballenpresse -- pflanzenschutzgeräte -- pflügen gerät bodenbearbeitung -- mäher -- mähdrescher -- lastkraftwagen bewässerungsanlage -- 
35,"sprengstoff feuerwerkskörperbestand kontrollieren -- überprüfen verfallszeit bestand -- abgelaufen pyrotechnik aussortieren -- einfügen speziell metallbehälter verarbeitung -- 
    "
36,kundenzufriedenheit gewährleisten -- professioneller umgang erwartung kunde -- antizipieren erfüllen bedürfnis wunsch -- bereitstellen flexibl kundendienst -- kundenzufriedenheit kundenbindung gewährleisten -- 
